Product_URL,Category,Gender
https://www.decathlon.in/p/8651888/kids-socks-5-pack-patterns,Kids Footwear,Boys
https://www.decathlon.in/p/8664339/kids-lace-up-tennis-shoes-essential-white-yellow,Kids Footwear,Boys
https://www.decathlon.in/p/8664341/kids-lace-up-essential-tennis-shoes-black-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8664396/women-waterproof-hiking-shoes-mid-ankle-with-cushion-comfort-green-mh500,Ordinary,Women
https://www.decathlon.in/p/8669461/kids-mid-rise-beginner-basketball-shoes-se100-black,Kids Footwear,Boys
https://www.decathlon.in/p/8733480/women-running-shoes-lightweight-cushioned-upto-10km-week-jogflow-100-1-black,Ordinary,Women
https://www.decathlon.in/p/8756995/women-s-warm-and-waterproof-hiking-boots-mh500-mid-black,Ordinary,Women
https://www.decathlon.in/p/8757341/women-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-blue,Ordinary,Women
https://www.decathlon.in/p/8757342/women-running-shoes-superior-grip-cushioned-upto-20km-week-jogflow-190-1-lilac,Ordinary,Women
https://www.decathlon.in/p/8771309/kids-rip-tab-essential-kd-tennis-shoes-black-blue,Kids Footwear,Boys
https://www.decathlon.in/p/8774167/women-walking-shoes-superior-grip-lightweight-slip-on-shoes-pw-160-black,Ordinary,Women
https://www.decathlon.in/p/8800119/women-s-warm-and-waterproof-snow-hiking-boots-nh900-brown-leather,Ordinary,Women
https://www.decathlon.in/p/8851131/women-s-waterproof-high-rise-hiking-boots-mh100-grey-green,Ordinary,Women
https://www.decathlon.in/p/8871992/kids-ski-and-snowboard-socks-500-blue-patterned,Kids Footwear,Boys
https://www.decathlon.in/p/8872050/junior-badminton-shoes-bs-190-blue-navy,Kids Footwear,Boys
https://www.decathlon.in/p/8912487/kids-unisex-multisports-durable-shoes-playventure-yard-purple-green,Kids Footwear,Boys
https://www.decathlon.in/p/8913940/women-running-shoes-lightweight-cushioned-upto-10km-week-jogflow-100-1-grey,Ordinary,Women
https://www.decathlon.in/p/8913945/women-running-shoes-lightweight-cushioned-upto-10km-week-jogflow-100-1-green,Ordinary,Women
https://www.decathlon.in/p/8913965/jf190-grip-women-s-running-and-trail-shoes-black-pink,Ordinary,Women
https://www.decathlon.in/p/8913975/women-s-running-and-trail-shoes-jf190-grip-grey-pink,Ordinary,Women
https://www.decathlon.in/p/8941903/kids-football-boots-160-mg-neon-green,Kids Footwear,Boys
https://www.decathlon.in/p/8943975/adult-futsal-trainers-100-black-caramel,Kids Footwear,Boys
