Product_URL,Category,Gender
https://www.decathlon.in/p/8851131/women-s-waterproof-high-rise-hiking-boots-mh100-grey-green,Ordinary,Women
https://www.decathlon.in/p/8851131/women-s-waterproof-high-rise-hiking-boots-mh100-grey-green,Sport Shoes,Women
https://www.decathlon.in/p/8871992/kids-ski-and-snowboard-socks-500-blue-patterned,Kids Footwear,Boys
https://www.decathlon.in/p/8871992/kids-ski-and-snowboard-socks-500-blue-patterned,Kids Footwear,Girls
https://www.decathlon.in/p/8872050/junior-badminton-shoes-bs-190-blue-navy,Kids Footwear,Boys
https://www.decathlon.in/p/8872050/junior-badminton-shoes-bs-190-blue-navy,Kids Footwear,Girls
https://www.decathlon.in/p/8912487/kids-unisex-multisports-durable-shoes-playventure-yard-purple-green,Kids Footwear,Boys
https://www.decathlon.in/p/8912487/kids-unisex-multisports-durable-shoes-playventure-yard-purple-green,Kids Footwear,Girls
https://www.decathlon.in/p/8913940/women-running-shoes-lightweight-cushioned-upto-10km-week-jogflow-100-1-grey,Ordinary,Women
https://www.decathlon.in/p/8913940/women-running-shoes-lightweight-cushioned-upto-10km-week-jogflow-100-1-grey,Sport Shoes,Women
https://www.decathlon.in/p/8913945/women-running-shoes-lightweight-cushioned-upto-10km-week-jogflow-100-1-green,Ordinary,Women
https://www.decathlon.in/p/8913945/women-running-shoes-lightweight-cushioned-upto-10km-week-jogflow-100-1-green,Sport Shoes,Women
https://www.decathlon.in/p/8913965/jf190-grip-women-s-running-and-trail-shoes-black-pink,Ordinary,Women
https://www.decathlon.in/p/8913965/jf190-grip-women-s-running-and-trail-shoes-black-pink,Sport Shoes,Women
https://www.decathlon.in/p/8913975/women-s-running-and-trail-shoes-jf190-grip-grey-pink,Ordinary,Women
https://www.decathlon.in/p/8913975/women-s-running-and-trail-shoes-jf190-grip-grey-pink,Sport Shoes,Women
https://www.decathlon.in/p/8941903/kids-football-boots-160-mg-neon-green,Kids Footwear,Boys
https://www.decathlon.in/p/8941903/kids-football-boots-160-mg-neon-green,Kids Footwear,Girls
https://www.decathlon.in/p/8943975/adult-futsal-trainers-100-black-caramel,Kids Footwear,Boys
